text,sentiment
@ZippyC NO. IT'S FULL OF WIN AND I LUV IT. &lt;3 I've been meaning to catch up to where it's at now for ages. NOW I HAVE. ,Positive
Oft. As finished as I can be. Can I relax and be on holiday now? I think I've missed the acceptable slot for lunch. ,Negative
@ItsNeet 100%.. its like getting an A for all your classes.. ,Positive
"@seblefebvre Hi Seb! I'm a spanish fan of you.I'm addicted to SP and I think it's the best band in the world!please, come to spain early ",Positive
Home from soccer. It's so hot out there today. We have retreated to the coolness of the basement. ,Positive
i have find my someone ,Positive
@marqueshouston We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us ,Positive
it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt,Positive
I'm obsessed with twitting  haha,Positive
One interlock down one to go ,Positive
"ugh...summer colds are the worst, esp when you have a fever on top of this ridic humidity ",Negative
I miss Zack so much these days ,Negative
@dbferguson I'm using an Asus. Forget which one at the moment since I don't have it near me.But my complaints are similar to yours. ,Negative
"@powersurf OH I've Got a case. I designed it. Someone idiot stole it and I can prove it. If they want to play hardball,I'm game. ",Positive
my thumb hurts after breaking the nail.... ,Negative
"@amymacdonald1 Congrats on the 4x platinum  It's a fantastic album, one of my favs",Positive
"@JosephFrost Yeahh, that would be pretty awesome. ",Positive
@benlizzotte so i think you should work for the discovery channel b/c then it would be media AND sharks! ,Positive
"@paddyrules home is mums house lol hm maddens could be a plan, am actually stone cold broke atm tho not even sure i could afford door fee ",Negative
@MandyyJirouxx that page doesn't exist ,Negative
fighting a cold. ,Negative
@greeleyalex  aw im jealous! I miss home. I wish I could be home in CG right now! Watching spanish tv with my Gparents,Negative
@aleshacal my phone is dying  no charger here!,Negative
@mileycyrus Green Day new cd on the 15th and you on the 16th. woo!! ,Positive
my tv always freezes while i'm watching inbetweeners ,Negative
@softjunebreeze Ex-factor.... Me too ,Negative
 Back to school on Monday...Well I did get an iPod Touch. @shmuxel + @randomized180 See yah tomorrow then I guess ,Negative
@LisaAnneWest i missed it  have to catch up on sunday ohh ye so  fancy ldn on sunday? xoxo,Negative
tried to check out your site @poeticmindset ... not working ,Negative
Watching Wayne Dyer's new program on PBS &quot;Excuses Begone!&quot;. Lower mainlanders can check it out on ch. 27 or 204 on Shaw! Peace ,Positive
pimples attack! Arghhhhhhhhh ,Negative
"has to pack, stillll. and doesn't want to.. ",Negative
@snikkins How dare you get some before I have a chance to. You're no longer my friend ,Negative
"Can't stop listening to the clips of @Jonasbrothers new album Lines, Vines and Trying Times its so amazing can't wait for the whole thing ",Positive
about to pour in orlando ,Negative
"@carriecruz I know! I don't think they air it on any of the cable channels anymore, but you can download them from the net ",Positive
@AprAnaya  you will !   check the website so you can have an idea as to what product u want to try . I will sent u the email tomorrow ,Positive
@annieomnious    can it be fixed?  can we make a new simple one mayb?,Negative
blÃ¤Ã¤ i have a headache ,Negative
Has just joined Twitter.. It better be good! ,Positive
Where in Singapore do they sell Dujour? ,Negative
"#iranelection The &quot;yellow Press&quot; is alive and well in the 21st century, how quickly we forget the USS Maine ",Negative
haven't been on all day  went to bed late last night!,Negative
"where's all the rain we were supposed to have today? not complaining tho, it's lovely &amp; bright. very happy making ",Positive
"@claire_stokoe thank you, it only took me two minutes, thankfully the style of envirowise.gov.uk was already there for the taking ",Positive
ps: i think twitter sucks if you dont have free unlimited texts. ,Negative
"@xDorkyStacy Ha! THAT SOUNDS SO WRONG STACY! lmao  i love you. and when I take one, I'll think of you too. haha, and on youtube. ",Positive
@gwyn007 @waz7710    no no really its ok! u try em out and then u can see which works and doesnt  by that time its to late,Positive
Who else misses Parade the day incredibly much.. ,Negative
I was caller number one. ,Negative
@StewartWade ditto!! Goodnight &amp; rest well!! Go play the lottery! I bought a ticket when I was n FL last week but no luck! ,Negative
"Mornin every1! Hope all is well I'm your worlds. I'm not sure why I'm at work at 7:45 this mornin, but I guess Its not all bad ",Positive
should be going out but wants to stay put to participate in @RichardWiseman experiment - might have to do it by txt. (no photo part) ,Negative
"If you can take criticism and blame without resentment, YOU'RE PROBABLY THE FAMILY DOG  see... http://jijr.com/hitZ cheers, Lou-ann",Positive
"@TeeMonster Sorry, I know I'm late responding (15hrs  timezone troubles) but I think you would need to load Audacity to your compy",Negative
History exam today and dreading it ,Negative
After seeing mr. benningfield tonight it really made me start to miss my vand family like hXc  i love you band geeks! &lt;3,Negative
Just downloaded a new Twitter app for my phone. So much better already. ,Positive
I seem to be making a habbit out of not falling asleep until very late ,Negative
There was a steady stream at my polling station mostly old folks surely they wouldn't vote for the fascists ... Are people that stupid? ,Negative
Missionaries had passport problems. Still havn't arrived  ya'll pray!,Negative
had a very good night ,Positive
"Enjoying the morning just hanging out with Juliet in Victoria. She doesn't know it yet, but I'm taking her to see Il Divo tonight  #fb",Positive
Off to the Miss Bikini Philippines pageant. Thanks to @veggiecircle for the ticket! ,Positive
i'm going global .. ,Positive
They are gone .. ,Negative
Friends with scott again ,Positive
I think that my lovely brother @ScottyHolloway should take me and his lovely sister @Ho11y to Old Town for some dinn dinn &amp; margaritas ,Positive
Roast in the cooker and cakes in the oven soon.  Good morning!  Hope everyone is well today ,Positive
Wooo I picked my sister and I miss the empty house. ,Negative
@aleahhh season is almost done with babe ,Negative
off to work    byeee xox,Negative
@alexandramusic Diversity won! damnn i wanted flawless to win ,Negative
printin stuff for my aunt. dont ask y its so late. i forgot 2 do it earlier. ,Negative
 can some one pleease tell me how to work out the total surface area of a square pyramid? ,Negative
@DENISE_RICHARDS love your hair  dont ever cut ur locks ,Positive
@okse *Phew* Hate to think you and Colin had fallen out! Glad he's smiling for you. Hip Hip Hip Hooray!! ,Positive
@Dee_Dee_3 high low ,Positive
"And the motivation came!  yay! Not finished yet, but well on my way!  Gonna go finish it. xx",Positive
Still cant get Jonas Bros tickets..dreading facing my niece later on ( I can see the tantrum now). Hope they put on another gig in Dublin ,Negative
"I though the clothes of AW0910 Collection from +9 designers will be there, together with the visual arts, but it is not ",Negative
On schedule now to soft launch tomorrow evening - already have first customer - lost cat ,Positive
&quot;Thank You [Lord] for reminding me to see myself the way You see me!&quot; ,Positive
@CharlieeSimpson I Was Looking at an Old Poster From Busted The Other Day  You Had Really Short Hair And Everythng   Young Ta Old ,Positive
"Ugh, so bored today! ",Negative
home from a long day of work. i wore heels from 11am to 7pm. i must be crazy!! came right home to soak the feets. lol who wana rub em? ,Positive
Still at work  This entire week has felt like an extremely long and awful Monday!,Negative
Upgraded iPhone to 3.0 but seem to have weaker link to tamu wireless ,Negative
morning twitterland...off to work i go ,Negative
@Debbiebarnhill I'm such a plantaholic.... I spent several thousand $s the last few years planting at my brothers lake cabin - he sold it ,Negative
Trying to learn some &quot;PHOTOGRAPHY&quot; ,Positive
@KrisAllenmusic I'll be sure to vote for you in that competition.  A star with your name on it would go well with your Idol Trophy!,Positive
already miss baby donkey ,Negative
@kpsomotragos I have it on good authority that we'll be getting it around 3am. ,Negative
Just heard gun shots in my neighborhood!!! ,Negative
Just watched hella home movies with my aunt and uncle. I miss the days where our whole family got along ,Negative
I am sooo tired!! My eyes literally can't stay open ,Negative
I hate word challenge on facebook! ,Negative
is sad she couldn't go out with her girls tonight  It's been too long....,Negative
PACKING SUCKS! i miss my Lee ,Negative
O how i love you sammoons  o how i do. ,Positive
"Wants a free doughnut, Krispy Kremes are so expensive, but 10 million times better than other doughnuts. ",Negative
new phone  tattoo on monday! Woo.. just had tea. yummy.,Positive
waiting for my hoe to come back ,Negative
"i just cried a lot  im so over that all , and i cant hear it anymore...",Negative
Trying to get on facebook!!! ,Negative
I want to post lol cats on here but I can't ,Negative
@RobbieTaylor I have no comment about who won the game until this replay is completed. ,Positive
Thank you everyone. I seriously am I lucky guy to have such great and lovely friends. Let's keep in touch  chuckishere.com at #LAX,Positive
friday gimmick in the office  but always looking forward for the weekend!,Negative
TALK meeting tonight at Tampa Chamber at 6pm with @WOMlinda as guest speaker on Word of Mouth Marketing! Happy Hour after @ Tinatapas ,Positive
successfully obtained  visa entries to enter  and stay in the Royal Kingdom of Thailand! ,Positive
Downtown Disney ,Positive
missing my mom ,Negative
A little sad  pretty bad news and feel too much insecure about my playing.,Negative
@HuniB oOhwee naw i just been chillin tryna get use to this new work schedule of having to be at wrk @ 7... ,Negative
@juzgalvez Hahaha! Don't be scared. They need fresh minds and you're it. ,Positive
grandparents arrive tomorrow... good nite ,Positive
that was a good chat!  keep u posted guys...,Positive
@BrokenStruggle to much waffle &amp; not enough drinking going on. he's a less annoying version of numpty! &amp; he's not you which makes me ,Negative
@theclimbx3 i knooow  its the pizza girl episode xD &lt;3,Positive
"Random drunk girl sitting by my car: &quot;Is that your man bag?&quot;  Me: &quot;Yes, that's my man bag.&quot;  BTW, its name is Butch  ",Positive
lots of cool ppl  ~~&gt; @actionchick @thewildjoker @walterdoc @JGDemas @amilya @williger  #followfriday,Positive
Alright this is my debute twitt  yay lol,Positive
@Spitphyre girls i am outta it then  my exams,Negative
Why do peep toe shoes hurt so bad ,Negative
@Alyssa_Milano do celebs get more characters than the rest of us? ,Positive
need to charge my mac... ,Negative
Keyshia cole loves bebe too!!! ,Positive
@dstarr I want my bed  x,Negative
"Dang it....BRB....have to get the cake, candles and ice cream out and sing happy birthday to my niece. Sweet 16 ",Positive
"@StiffValentine Olympus E-410.  Besides the recent digital lenses, I also got an old 50mm OM lens which mounts via a simple adapter.  ",Positive
"is going to watch the brewer game, eat soup, play sims and sit in a vaporizer filled room. stupid cold. this sucks. ",Negative
Hmmm.... My whole body feels sore! ,Negative
@Venyadosae I'm sooo happy you'll get to re-take penguin pics! I collect penguin stuff and am a penguin FREAK! Can't wait to see ,Positive
"My server has been going down lots lately, it makes me a sad WoW player  lol",Negative
how would you feel if @taylorswift13 was in a GoBernos video? eh eh ,Positive
"@timdifford cheers, I spotted that - couldn't find it on the App Store though ",Negative
sore throat ,Negative
He'd go anywhere with me ,Positive
@LexiePixie your tarot twreading is next. ,Positive
@Bowl_the_Bunny lol love how we put some in stars: *some* haha...*crosses fingers* i hope you get more ,Positive
This tea taste like pure WATER!!!  Yuck!,Negative
sad that it's not my birthday anymore and that my balloon is deflating ,Negative
"Great to get bk online, my own net was down ",Negative
St Andrews is scaring me. ,Negative
Finally done work YAY ,Positive
@DTatStar not nice  lol,Negative
i aint alive....im just breathing to death ,Negative
Sorry you missed it. Good night! ,Positive
oopss did that twice  D: im such a silly moo.,Negative
"@acj525 mummmmmmmmmmm,  can you put the pizza in the oven ",Positive
@ibbypop haha yeeahh yeahh you know its only till 2:30 so its not too bad! ,Positive
@Jagusti shit! I thought it was months away  I'm not in Sheffield this weekend ,Negative
@Shadez mmm...i wouldn't mind li'l Katy's either.. ,Positive
On a JEW mood. Downloading Futures. Chase the Light naman mamaya. Haha. ,Positive
Wishes @kirstiealley a Happy Mother's Day! ,Positive
"More rain due, ugh, going to a graduation today and was hoping the kids could go swimming ",Negative
woke up early today...dont wanna go to school tomorrow... ,Negative
I can't seem to fall asleep tonight ,Negative
"#EU09 In 5 years we need a best coverage. World, take a look here, yes, here, Europe is moving ",Positive
That should give you happy thoughts ,Positive
@monzongo2009 OH NO!!!  Get well soon   I'm trying to get well myself in the midst of Merola.  Sending you virtual antibiotics ,Negative
Dam texts woke me up ,Negative
"I could seriously go back to sleep  working 3-11 tonight w/ mitch...but toni won't be there...it's not the same, but i hope it's fun! ilu!",Negative
eatin an icecream ,Positive
"@FifthSenseNYC I'll be giving the Mark Birley a wear later this week, even though I'm not a &quot;quiet man&quot;. ",Positive
happy birthday to andy hurley ,Positive
Hangin with my bestie suzi ,Positive
" FML.. today sucks.. i just hope the dance will bring my soul up.. i pray, but im still sad..i hateee todayyyyyy!!! &gt;;(",Negative
But I will follow ,Positive
I'm saying good bye to a good friend tonight... kinda sad ,Negative
my last nite in work for weeks.....ah im in such good humour ,Positive
"My Sonic skills have not improved... Running, fine. Spinning, awesome. Jump from platform to platform? The fail whale grabs me ",Negative
"saw a red balloon flying outside my window. somewhere out there, a kid must be crying because the wind blew his balloon away... ",Negative
Working today. Closing. 2 - 11. Missing out on Ming's birthday dinner/party. ,Negative
@JoshBkelley just wanted to say the youngstown girls miss you  .. &amp; what happened to tell it like it is on itunes? cant find it!,Negative
Ahhh...I finally don't have to keep 5 guys happy...I get waited on tonite ,Positive
hope you feel better mommy  I love you :X,Negative
@KandyChazer it is...but i was told i was gonna be entertained and i wasnt ,Negative
yay! just realized i'm not driving this trip and can do all the twittering!  ,Positive
"@amf7 Thank you for reminding me! I actually have something in mind given the date. Hint, it's Star Trek related. ",Positive
We should have brought a flask with v0dka. Hahaha. ,Positive
Just got pulled over on 36. I am fucking terrified of cops. My headlights out I guess  mew.,Negative
gotta go check/console/convince 2 yo to stay in bed and that he actually WANTS to go to sleep... 20 min nap in car= past his sleep... ,Negative
@cali_g510 ok   I got you!,Positive
Changed the background on here. About to go watch 'Mary Shellys Frankenstein'.  Add: http://bit.ly/4Qhlv,Positive
"@MANDY_EMMERSON I know you do, Go TEAM GB ",Positive
"@sdministry Hey scott, Its Ashli from Shelby County, We met when Rick and Mick were in town. How you been? It been awhile ",Positive
@temptationdice why did my family decide to have a family gathering?  i see why you hate them. -.-,Negative
@kerryjor Happy Birthday!  Enjoy the cougar years - roar! ,Positive
I work 9-6 today with bitch boss ,Negative
  DD has pinkeye...not fun.,Negative
3 little birds pitch by my door step singing sweet songs of melodies pure &amp; true sayin dis is my message 2 you: dont worry about a thing ,Positive
Church of the Highlands @ 11:30 in the Bryant Conference Center! BE THERE!   ,Positive
Off to london biggin hill ,Positive
definitely just failed my exam ,Negative
@Burlesquetron oh sorry I didn't see this tweet further down sorry. unhappy DD = 4 champers 4 me + looking 4 hair dye in back of cupboard ,Positive
@laurie_pringle I mention it in the blog post. It's in Vancouver. ,Positive
I am soooo happy!!! ,Positive
@Itxi_Itx @th3maw  This is a great conversation.  What else might you do with your sheets during the act of love?  eh?  eh?  ,Positive
mark cubans doin handsprings right now- the &quot;punks and thugs&quot; are sinking.. but he's not looking forward to paying dirk's child support. ,Negative
@lovelyberries haha you can cuddle with me anytime ,Positive
had a lovely birthday.  http://plurk.com/p/xedq0,Positive
@judez_xo ugly kids there?  woahh where am i then. ,Negative
@canadianfamily The best thing about my Mother's Day was my son. And the card my husband got me 'from' our 5.5 week old son. ,Positive
Just got off the  â  Misery loves company..... Haha,Positive
ugh sdre isnt coming here  lame. today can suck my dick.,Negative
@andyclemmensen tv on mute cause its boring but then ipod with speakers on timer  now thats how its done.,Positive
TWO More weeks and its back to work. ,Negative
is healthy breakfast then back to geography revision ,Negative
off to sleep. GOOD NIGHT WORLD  hope it'll not rain tomorrow.,Positive
Kylie's being a bad girl today. ,Negative
@LaYdeeDeliSh he's definately a strong lil guy! ,Positive
I watched UP! This time I cried  It's really sad and hilarious ... That movie totally rocks!,Negative
just booked my driving test ,Positive
i've been working for more than 24 hours now ,Negative
"@ddlovato I wish I was a celeb like you, Miley Cyrus, Selena Gomez, Taylor Swift, and all those pretty girls out there! ",Positive
I can't believe the last survivor of the Titanic died...that's really sad! ,Negative
Starting to wonder if my future landlord is crazy or prejudice against americans.. this may not end well ,Negative
@kiniaq and the reasons are never wrong my dear... they are absolutely lovely  wow,Positive
@lexia well done on all your reporting.  Haven't been vocal but have enjoyed and appreciated your work. Cheers lady. ,Positive
I would love the 85mm 1.2 .. but would settle for the 85mm 1.8. I'd also love a 1Dsmark3 for it to sit on ,Positive
@AngelIVXXX very good price ,Positive
@MrRathbone You have many friends here who will walk with you through the dark and the light. Smile ,Positive
soo hungry! hot dogs with all the fixings? sounds yummy ! ,Positive
is having a bad day - email not working properly and looks like the 10km run is off for me ,Negative
@officialnjonas you speak my name in chat? please?I am a big fan your...follow me? ,Positive
"The Tonight Show w/ Conan was AWESOME!!! I missed that tall, pale, red-headed man! ",Positive
"@Hail_Mary_Jane: never date anyone who's on twitter, then you can't tweet about how whack they are.&lt;----sooooooooo true ",Positive
I need someone to talk to!  Who can that be? ,Positive
@BrianMcnugget still your old joker kinda self...im glad...i kinda miss it ,Negative
un vot pe blogoree pls: http://bit.ly/ueUb6   Multumesc! ,Positive
"Dear baby, I can't wait until your teething days are over. ",Negative
"@ninasplayground LOL, I didn't know it was on  OF COURSE if watch that dumb bitches show ;-) like a train wreck... Can't stop watching ;)",Negative
@imPLastic ,Positive
"BlackBerry troubles all over.. fortunately enough I don't have one! My HTC Touch works fine, for almost 2 years! ",Positive
@MeganBull how do you know how much your twitter profile is worth?? haha...or was that a joke? ,Positive
http://mobypicture.com/?yxykxt - I knew it from the start. It's a two year old t-shirt by now. Always makes me pleased to see though. ,Positive
I had Wendy's before this. That was a bad choice   http://twitpic.com/6vlkp,Negative
@cjm55 Thanks!  ,Positive
"why do people not just try to understand instead of getting pissed off  when someone needs you, its cause they love you...",Negative
@Castiel_ yeah. totally. ,Negative
@Lumiel Aren't you sweet? ,Positive
CDC Vaccine Advisor Pockets $29 Million Promoting Vaccines -  http://is.gd/M7Q8 - MORE ELITIST SCUM VACCINATION PROFITEERING - Sorry ,Negative
@MissChriis i don't know how to celebrate yet. lol but i'm very excited about it. ,Positive
@windsorj Poor thing  Hope you feel brighter soon x,Negative
Ah. The perfect summer day was ruined by the rain. Too good to be true.  but its still hot as hell. I feel sticky and gross. Long day. Ha,Negative
 i gotta work today,Negative
@nowamunkie My pleasure. ,Positive
Blood Brothers was Amazing.  Got my program signed by the cast  Got a Picture with Sean Jones. ,Positive
bob to the top high school musical porno. ftw ,Positive
@DavidArchie I'm running a fever  If you gave me a shoutout I swear I'd get better! (HINTHINT!) HAHAHA.,Negative
"@edicius during this Stanley Cup match up, yes, I am a Pens fan. ",Positive
"@besz I will tell you on Thursday all about Tuesday, I promise. How bout I skip all this, and just eat the monkey for breakfast? ",Positive
I thought it was meant to be a hot summer  to mean rain doesnt mean hot.,Negative
@Wolfie75 Welcomes home  Glad you had a fabbo time!,Positive
doesn't know what to do with himself today... but might get some blonde put in his hair for summer ,Positive
"kick  butt, Chuck has been renewed for a third season.  Sucks only 13 episodes though.    http://tr.im/lF45",Negative
just wants to get it over and done with. I miss working ,Negative
@Boy_Kill_Boy Anything for first class tix ,Positive
"@Jason25329 Sorry to hear that  but hey, you're eating well at least!",Negative
Phew! Done rewriting the 1st bit of my results to order. Reread comments from bosses to ensure I'd incorporated them. Had. But sad now. ,Negative
morning tweeple  hope you all have a great monday,Positive
"Home and off for hopefully, a sunny weekend ",Positive
"@innocent_eyez26 OMG :o ahahaa. oh well, thats common there  hihii",Positive
packing up my room... ,Negative
CEO is on the floor today. Need to be careful while surfing today. It's all work and no play day. ,Negative
hitting the gym!  its bout time,Negative
"Wife just left on a motorcycle ride. I still need to get my Washington plates , so I am at home, Drat! ",Negative
@TwilightilDawn Oh man I want palm trees and the beautiful ocean! Not cow town CO  Follow @peterfacinelli @billy_burke,Negative
#musicmonday King Blues My Bolder ,Positive
"I have a 1,500-word deadline in 2 days, stacks of research materials are surrounding me, and I don't have a clue how to start  Need coffee",Negative
@gfalcone601 well at least you had a great time and thats what's important! ,Positive
"Oh and more car FAIL, after all the work i had done Fri., the Check Engine light went on just as i got home last night ",Negative
@itwittmyclit I'm jealous. I wanna nerd out ,Negative
"@PiKaHsSo Sup fam? Hope you have a GREAT weekend! Keep doing what u do, we appreciate u ",Positive
http://twitpic.com/4eg0i - Before his hair cut. I just wanna kiss that little face all day long ,Positive
@mike_rhodes r u romeo from somewhere? ,Positive
Only problem with Google Chrome: no foxkeh ,Negative
Figuring out how to live a life where I'm my own boss... fun ,Positive
"CAN YOU SAY AFTER 30 HOURS OF TRAVELING IM FINALLY IN ARGENTINA?! yes! oh hello Buenos Aires, how i love you ",Positive
@dawnmcwilliams Saha ,Negative
I don't feel well at all. Dizziness and vomit. No fun ,Negative
"I want to drink tonight,, want a cosmopolitan ",Positive
@dance2jeffreee I have already watch that video lol ,Positive
Everytime she stops talkin or replying for hours or days it is like she's leavin me all over again ,Negative
is off to work til 4! Happy Hump Day! ,Positive
@girl_alex ....  Hope you're okay?,Negative
"i made 29 updates today, my record xD talk to you tomorrow bye ",Positive
@disco_di aww tell me about it!!! its just not the same  hope you have a better day,Negative
"@SomeWriter Hey, great minds think alike! ",Positive
Mother's Day is a traditionally time for BBQ here ... unfortunately I don't like BBQ at all  ... but I am also not a mother ;-) ;-),Negative
back from school w/ @_gerardo. Making a grocery run w/ @kellan_craddock before celebrating @chadachi's 22nd birthday with a barbeque. ,Positive
Summat to make your laugh today http://budurl.com/beckhams ,Positive
"regretting not wearing sunscreen today, spent 6 hours walking round Kew Gardens during a mini heatwave. Healthy glow is an understatement ",Negative
Shot after shot. Alc is lying to me ,Negative
@kirstiealley Prizes are good! ,Positive
"Everyone follow @JKitsJena because this twitter is fawked, pleeeeease and thank you ",Positive
@ the booptys crib watching chucky 3 with the little one my boopty aint feeling well ,Negative
im off from one job and now im off to my next one. i wish i was rich and didnt have to worry about money. but i have to cuz of my son.   ,Negative
"@BT_broadband Ah, well, we're both in the same boat then. I switched because they were throttling the speed every single night. ",Negative
and @thedebbyryan http://www.debbyandchrisryanfansite.webs.com/ is WRONG tha page dont found  follow us -we r ur team TEAMofDEBBYRYAN,Negative
@tonyrobbins &quot;paradise is where I am.&quot; he also said ,Positive
@Guitargirl5595 yeah so now i am all bummed cause now i dont have college anymore ,Negative
@TomboyTigress  you told me you LIKED my marshmallow fish. *runs off crying*,Negative
is back at the hotel. wifi doesn't reach the room  http://plurk.com/p/rnauu,Negative
"Im a very open girl and if you remain respectful, we will have a lot of fun  See my pics here http://sa9.us/HornySophie",Positive
@jaimeeashley i demand a picture of the red hair please and thankyou ,Positive
I will try to remember to Twitter from the George Strait concert ,Positive
going to take some photo and ride my whole new bike~~ ,Positive
good afternnon world althought the weather is bad i hate the rainny season ,Negative
"Hai, anyone wanna hang? ",Positive
"@victoriastevens yeah, i've started too ",Negative
